movie_id,title,genre,imdb
tt0219288,Loners,Comedy,7.5
tt0221023,Black Tar Heroin: The Dark End of the Street,"Biography,Documentary",7.9
tt0221027,Blow,"Biography,Crime,Drama",7.5
tt0221073,Chopper,"Biography,Crime,Drama",7.1
tt0222012,Hey Ram,"Crime,Drama,History",8.0
tt0222150,The Waiting List,"Comedy,Drama,Romance",7.1
tt0222851,Brother,"Crime,Drama,Thriller",7.1
tt0223897,Pay It Forward,Drama,7.2
tt0224578,The Vertical Ray of the Sun,"Drama,Romance",7.2
tt0227277,Burnt Money,"Crime,Drama,Romance",7.0
tt0228687,Little Otik,"Animation,Comedy,Drama",7.3
tt0229340,Dinner Rush,"Crime,Drama,Romance",7.2
tt0229664,Princes and Princesses,"Animation,Comedy,Family",7.6
tt0230512,Mayor of the Sunset Strip,"Biography,Documentary,Music",7.0
tt0230600,The Others,"Horror,Mystery,Thriller",7.6
tt0233651,Angels of the Universe,"Biography,Drama",7.5
tt0233687,The Eyes of Tammy Faye,"Biography,Documentary",7.2
tt0233841,Baran,"Drama,Romance",7.7
tt0234215,The Matrix Reloaded,"Action,Sci-Fi",7.2
tt0234288,Divided We Fall,"Comedy,Drama,War",7.6
tt0234837,Suzhou River,"Drama,Romance",7.4
tt0234988,The Town Is Quiet,Drama,7.2
tt0235327,Dark Days,Documentary,7.7
tt0235737,The Salton Sea,"Crime,Drama,Mystery",7.0
tt0236027,Flickering Lights,"Action,Comedy,Crime",7.5
tt0236216,The Filth and the Fury,"Biography,Documentary,Music",7.6
tt0236576,Paragraph 175,"Documentary,History,Romance",7.7
tt0237534,Brotherhood of the Wolf,"Action,Adventure,Drama",7.0
tt0237539,Bread and Tulips,"Comedy,Romance",7.3
tt0238119,Boys Don't Cry,"Comedy,Crime",7.6
tt0238380,Equilibrium,"Action,Drama,Sci-Fi",7.3
tt0238883,Brat 2,"Action,Crime,Drama",7.6
tt0238891,One Hundred Steps,"Biography,Crime,Drama",7.5
tt0238936,Devdas,"Drama,Musical,Romance",7.6
tt0239102,Wild Flowers,"Drama,Fantasy,Horror",7.1
tt0239655,Monday,"Action,Comedy,Crime",7.3
tt0239894,Paradise Lost 2: Revelations,"Crime,Documentary",7.5
tt0240200,Water,Drama,7.7
tt0240419,The Swamp,"Comedy,Drama",7.0
tt0240641,"Just, Melvin: Just Evil",Documentary,7.0
tt0240772,Ocean's Eleven,"Crime,Thriller",7.7
tt0240912,Sound and Fury,Documentary,7.8
tt0240913,Under the Sand,"Drama,Mystery",7.0
tt0241303,Chocolat,"Drama,Romance",7.2
tt0241527,Harry Potter and the Sorcerer's Stone,"Adventure,Family,Fantasy",7.7
tt0241663,To the Left of the Father,Drama,7.5
tt0242256,Alai Payuthey,"Drama,Musical,Romance",8.3
tt0242519,Hera Pheri,"Action,Comedy,Crime",8.2
tt0242572,I Have Found It,"Drama,Musical,Romance",7.7
tt0242587,L.I.E.,"Crime,Drama",7.1
tt0243017,Waking Life,"Animation,Drama,Fantasy",7.6
tt0243133,The Man Who Wasn't There,"Crime,Drama",7.5
tt0243493,The Closet,Comedy,7.0
tt0243794,Pellet,Drama,7.3
tt0243862,Italian for Beginners,"Comedy,Drama,Romance",7.0
tt0243889,Eureka,Drama,7.7
tt0243971,Unreel: A True Hollywood Story,"Comedy,Mystery",8.2
tt0244316,Yi Yi,Drama,8.1
tt0244479,Dark Blue World,"Action,Drama,Romance",7.2
tt0244504,Me You Them,"Comedy,Drama",7.0
tt0245027,The Bench,Drama,7.5
tt0245280,Michael Jordan to the Max,"Documentary,Sport",7.4
tt0245429,Spirited Away,"Adventure,Animation,Family",8.6
tt0245501,Things Behind the Sun,"Drama,Music",7.0
tt0245574,Y tu mamá también,Drama,7.7
tt0245712,Amores Perros,"Drama,Thriller",8.0
tt0245837,Chunhyang,"Drama,Musical,Romance",7.1
tt0245844,The Count of Monte Cristo,"Action,Adventure,Drama",7.7
tt0245910,Cheap Smokes,"Comedy,Romance",7.4
tt0245929,Devils on the Doorstep,"Comedy,Drama,War",8.2
tt0246119,The Wedding,"Comedy,Drama",7.0
tt0246578,Donnie Darko,"Drama,Mystery,Sci-Fi",8.0
tt0246593,Big Animal,"Comedy,Drama",7.1
tt0246765,Lumumba,"Biography,Drama,History",7.2
tt0246772,Mostly Martha,"Comedy,Drama,Romance",7.2
tt0247196,Before Night Falls,"Biography,Drama,Romance",7.1
tt0247199,The Believer,Drama,7.1
tt0247380,The Gleaners & I,Documentary,7.7
tt0247425,In the Bedroom,"Crime,Drama",7.4
tt0247586,Nine Queens,"Crime,Drama,Thriller",7.9
tt0247745,Super Troopers,"Comedy,Crime,Mystery",7.0
tt0247945,Badri,"Comedy,Drama,Romance",7.3
tt0248036,Get Ready to Be Boyzvoiced,"Comedy,Music",7.3
tt0248126,Kabhi Khushi Kabhie Gham...,"Drama,Musical,Romance",7.5
tt0248845,Hedwig and the Angry Inch,"Comedy,Drama,Music",7.7
tt0248912,Into the Arms of Strangers: Stories of the Kindertransport,"Documentary,History,War",7.7
tt0249241,Werckmeister Harmonies,"Drama,Mystery",7.9
tt0249462,Billy Elliot,"Drama,Music",7.7
tt0250067,The Trip,"Comedy,Drama,Romance",7.0
tt0250125,Under the Skin of the City,Drama,7.2
tt0250258,The Experiment,"Drama,Thriller",7.7
tt0250638,PTU,"Action,Crime,Drama",7.0
tt0251091,Before the Storm,"Crime,Drama,Thriller",7.2
tt0251141,Innocence,Drama,7.1
tt0251160,John Q,"Crime,Drama,Thriller",7.1
tt0251447,The Tunnel,"Drama,History,Thriller",7.7
tt0251777,Km. 0 - Kilometer Zero,"Comedy,Drama,Romance",7.0
tt0252052,An American Reunion,"Comedy,Drama,Romance",7.7
tt0252437,Elephants and Grass,"Drama,Thriller",7.0
tt0252444,Rabbit-Proof Fence,"Adventure,Biography,Drama",7.4
tt0252480,The Grey Zone,"Drama,History,War",7.0
tt0252684,Manic,Drama,7.1
tt0252985,Ask Me If I'm Happy,"Comedy,Drama",7.2
tt0253474,The Pianist,"Biography,Drama,Music",8.5
tt0254455,Sex and Lucía,"Drama,Romance",7.0
tt0254481,Koi... Mil Gaya,"Action,Drama,Fantasy",7.2
tt0254686,The Piano Teacher,"Drama,Music,Romance",7.5
tt0255067,Common Wealth,"Comedy,Crime,Mystery",7.2
tt0255094,The Circle,Drama,7.4
tt0255958,Down House,"Comedy,Crime,Drama",7.0
tt0256009,The Devil's Backbone,"Drama,Horror,Thriller",7.4
tt0256259,Pauline and Paulette,"Comedy,Drama",7.0
tt0256408,Startup.com,Documentary,7.1
tt0257044,Road to Perdition,"Crime,Drama,Thriller",7.6
tt0257289,Life as a Fatal Sexually Transmitted Disease,Drama,7.0
tt0257290,Glass Tiger,Comedy,7.7
tt0257360,About Schmidt,Drama,7.2
tt0257497,"La Commune (Paris, 1871)","Drama,History,War",8.0
tt0258068,The Quiet American,"Drama,Romance,Thriller",7.0
tt0258463,The Bourne Identity,"Action,Mystery,Thriller",7.8
tt0258490,Khushi,"Drama,Romance",8.1
tt0258760,Lammbock,"Comedy,Crime",7.2
tt0258761,Last Resort,"Drama,Romance",7.2
tt0258885,Platform,"Drama,History",7.4
tt0259072,A Time for Drunken Horses,"Drama,War",7.7
tt0259182,The American Nightmare,"Documentary,Horror",7.2
tt0259393,Lantana,"Drama,Mystery,Romance",7.2
tt0259440,Beautiful Memories,"Drama,Romance",7.2
tt0259484,Paid in Full,"Action,Crime,Drama",7.0
tt0260332,The Day I Became a Woman,"Comedy,Drama",7.3
tt0260414,Taking Sides,"Drama,History,Music",7.0
tt0260688,Ali Zaoua: Prince of the Streets,"Crime,Drama",7.3
tt0260991,Joint Security Area,"Action,Drama,Thriller",7.7
tt0262037,Thenali,"Comedy,Drama",7.6
tt0262240,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"Biography,Documentary",8.2
tt0262432,George Washington,Drama,7.2
tt0262826,Thomas in Love,"Comedy,Drama,Romance",7.0
tt0263124,Brainstorm,Drama,7.7
tt0263334,Beans,"Action,Comedy,Crime",7.1
tt0264464,Catch Me If You Can,"Biography,Crime,Drama",8.1
tt0264476,Children Underground,Documentary,8.2
tt0264578,The Endurance,"Documentary,History",7.8
tt0264616,Frailty,"Crime,Drama,Thriller",7.2
tt0264689,Home Room,"Crime,Drama",7.1
tt0264796,Life as a House,Drama,7.4
tt0265018,Ah! My Goddess: The Movie,"Animation,Comedy,Drama",7.0
tt0265086,Black Hawk Down,"Action,Drama,History",7.7
tt0265116,Chaos,"Comedy,Crime,Drama",7.0
tt0265144,Offside,"Drama,Sport",7.3
tt0265343,Monsoon Wedding,"Comedy,Drama,Romance",7.3
